season,team,conference,statName,statValue
2021,Arizona State,Pac-12,rushingAttempts,495
2021,Charlotte,Conference USA,kickReturnTDs,0
2021,Wake Forest,ACC,rushingTDs,31
2021,Colorado State,Mountain West,thirdDowns,202
2021,SMU,American Athletic,sacks,27
2021,Missouri,SEC,fourthDowns,19
2021,Ole Miss,SEC,interceptionYards,100
2021,UAB,Conference USA,kickReturns,24
2021,Nebraska,Big Ten,puntReturnTDs,0
2021,Ole Miss,SEC,totalYards,6402
2021,Old Dominion,Conference USA,netPassingYards,2792
2021,UNLV,Mountain West,rushingTDs,18
2021,Army,FBS Independents,puntReturnTDs,0
2021,Washington State,Pac-12,games,13
2021,Northern Illinois,Mid-American,totalYards,6004
2021,Michigan,Big Ten,kickReturns,27
2021,Oklahoma,Big 12,puntReturnYards,69
2021,Ball State,Mid-American,passCompletions,267
2021,New Mexico State,FBS Independents,sacks,19
2021,Florida Atlantic,Conference USA,passingTDs,20
2021,Utah State,Mountain West,interceptionTDs,0
2021,Kansas State,Big 12,puntReturnTDs,1
2021,Notre Dame,FBS Independents,passCompletions,289
2021,Georgia Tech,ACC,puntReturns,17
2021,Duke,ACC,penalties,78
2021,East Carolina,American Athletic,penaltyYards,591
2021,Cincinnati,American Athletic,games,14
2021,Kentucky,SEC,interceptions,13
2021,Kansas State,Big 12,kickReturns,27
2021,Charlotte,Conference USA,interceptionYards,44
2021,Minnesota,Big Ten,passCompletions,152
